timestamp,chassis_no,status,error
2026-06-23 09:49:48,MAT494163T5C07046,SUCCESS,
2026-06-23 09:49:51,MAT513061TFD05711,SUCCESS,
2026-06-23 09:49:53,MAT513061TFD05796,SUCCESS,
2026-06-23 09:49:56,MAT513355RFF09267,SUCCESS,
2026-06-23 09:49:57,MAT514016SFN11853,SUCCESS,
2026-06-23 09:50:02,MAT558005RVA04581,SUCCESS,
2026-06-23 09:50:07,MAT558005RVA04592,SUCCESS,
2026-06-23 09:50:14,MAT558005TVF31546,SUCCESS,
2026-06-23 09:50:21,MAT558018TVE26189,SUCCESS,
2026-06-23 09:50:52,MAT558053TVB07405,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:51:22,MAT558053TVD24688,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:51:52,MAT558053TVE25912,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:52:22,MAT563016N5B02938,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:52:52,MAT563082R5A00922,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:53:22,MAT567105TAE14727,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:53:52,MAT570101T1E14340,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:54:22,MAT774002N1D12376,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:54:52,MAT774002N1E15588,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Read timed out. (read timeout=30)"
2026-06-23 09:55:06,MAT777013N3C07013,FAILED,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-06-23 09:55:08,MAT778016R2B04056,FAILED,"HTTPConnectionPool(host='atcu-data.accoladeelectronics.com', port=6101): Max retries exceeded with url: /api/crm/getAIS140TicketList?page=1&size=50&search=MAT778016R2B04056&kpiCardSelected=PRO (Caused by NewConnectionError(""HTTPConnection(host='atcu-data.accoladeelectronics.com', port=6101): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
2026-06-23 09:55:13,MAT789068S5K20023,SUCCESS,
2026-06-23 09:55:16,MAT789068S5K20033,SUCCESS,
2026-06-23 09:55:19,MAT790206M7J15216,SUCCESS,
2026-06-23 09:55:22,MAT790222N7D09712,SUCCESS,
2026-06-23 09:55:26,MAT791205S5C07691,SUCCESS,
2026-06-23 09:55:29,MAT793002N1D13249,SUCCESS,
2026-06-23 09:55:31,MAT799012L1P11227,SUCCESS,
2026-06-23 09:55:35,MAT804055T8D09290,SUCCESS,
2026-06-23 09:55:38,MAT805021TFE06994,SUCCESS,
2026-06-23 09:55:40,MAT808020M1C06911,SUCCESS,
2026-06-23 09:55:44,MAT812011L5P09583,SUCCESS,
2026-06-23 09:55:47,MAT812011M5B01823,SUCCESS,
2026-06-23 09:55:49,MAT817007T5C06933,SUCCESS,
2026-06-23 09:55:53,MAT820003P3C09730,SUCCESS,
2026-06-23 09:55:56,MAT820003P3C10040,SUCCESS,
2026-06-23 09:55:58,MAT820006N1G19530,SUCCESS,
2026-06-23 09:56:01,MAT828025N2B04371,SUCCESS,
2026-06-23 09:56:05,MAT828128TAC10028,SUCCESS,
2026-06-23 09:56:07,MAT832059TAC08513,SUCCESS,
2026-06-23 09:56:11,MAT832059TAC10111,SUCCESS,
2026-06-23 09:56:14,MAT843002P7B05459,SUCCESS,
2026-06-23 09:56:16,MAT843005PAB03269,SUCCESS,
2026-06-23 09:56:17,MAT843007P5B03080,SUCCESS,
2026-06-23 09:56:20,MAT843207R7C04401,SUCCESS,
2026-06-23 09:56:24,MAT843319T7D12495,SUCCESS,
2026-06-23 10:02:21,MAT505159M8A00885,SUCCESS,
2026-06-23 10:02:25,MAT789015P5B02075,SUCCESS,
2026-06-23 10:02:29,MAT793002M1H16380,SUCCESS,
2026-06-23 10:02:32,MAT820003N1C07595,SUCCESS,
2026-06-23 10:02:36,MAT820003P3B06329,SUCCESS,
2026-06-23 10:02:39,MAT828048RAE08024,SUCCESS,
2026-06-23 10:39:32,MAT500055T1D13602,SUCCESS,
2026-06-23 10:39:35,MAT503091SAD06980,SUCCESS,
2026-06-23 10:39:38,MAT558017TVD24269,SUCCESS,
2026-06-23 10:39:40,MAT558057TVC18528,SUCCESS,
2026-06-23 10:39:43,MAT558057TVE30873,SUCCESS,
2026-06-23 10:39:47,MAT558057TVE31045,SUCCESS,
2026-06-23 10:39:49,MAT558057TVE31263,SUCCESS,
2026-06-23 10:39:52,MAT566013R1E12349,SUCCESS,
2026-06-23 10:39:55,MAT566240T1E14591,SUCCESS,
2026-06-23 10:39:58,MAT793002N1D10985,SUCCESS,
2026-06-23 10:40:00,MAT793020R1E13157,SUCCESS,
2026-06-23 10:40:03,MAT796001P1A02189,SUCCESS,
2026-06-23 14:42:47,MAT503302S2C04407,SUCCESS,
2026-06-23 14:42:51,MAT506502R8C04472,SUCCESS,
2026-06-23 14:42:55,MAT513059T5D11272,SUCCESS,
2026-06-23 14:42:59,MAT513354NFE03583,SUCCESS,
2026-06-23 14:43:03,MAT513354NFE03684,SUCCESS,
2026-06-23 14:43:07,MAT513354NFE03701,SUCCESS,
2026-06-23 14:43:11,MAT513354NFE03720,SUCCESS,
2026-06-23 14:43:13,MAT513357TFA01810,SUCCESS,
2026-06-23 14:43:15,MAT513357TFA01811,SUCCESS,
2026-06-23 14:43:18,MAT558010TVD21182,SUCCESS,
2026-06-23 14:43:20,MAT558010TVE27221,SUCCESS,
2026-06-23 14:43:23,MAT558010TVE27481,SUCCESS,
2026-06-23 14:43:25,MAT558017TVE28446,SUCCESS,
2026-06-23 14:43:29,MAT558053TVB12145,SUCCESS,
2026-06-23 14:43:31,MAT558053TVC18778,SUCCESS,
2026-06-23 14:43:36,MAT558053TVE27770,SUCCESS,
2026-06-23 14:43:40,MAT563041P7D08682,SUCCESS,
2026-06-23 14:43:45,MAT566011R3D12828,SUCCESS,
2026-06-23 14:43:50,MAT566013P1D12870,SUCCESS,
2026-06-23 14:43:55,MAT566013R1D10074,SUCCESS,
2026-06-23 14:44:00,MAT566235T1D13110,SUCCESS,
2026-06-23 14:44:05,MAT566235T1E14123,SUCCESS,
2026-06-23 14:44:09,MAT570101T1E15370,SUCCESS,
2026-06-23 14:44:14,MAT777012P3A01668,SUCCESS,
2026-06-23 14:44:18,MAT785004N7K25205,SUCCESS,
2026-06-23 14:44:22,MAT785042R7E08405,SUCCESS,
2026-06-23 14:44:26,MAT785054T7C09565,SUCCESS,
2026-06-23 14:44:30,MAT785055T7A00103,SUCCESS,
2026-06-23 14:44:34,MAT785060T7D12142,SUCCESS,
2026-06-23 14:44:37,MAT785074T7D11046,SUCCESS,
2026-06-23 14:44:39,MAT785075T7D11663,SUCCESS,
2026-06-23 14:44:41,MAT785076T7D12192,SUCCESS,
2026-06-23 14:44:43,MAT785076T7E15226,SUCCESS,
2026-06-23 14:44:46,MAT786055T8C07139,SUCCESS,
2026-06-23 14:44:49,MAT791205S5C07690,SUCCESS,
2026-06-23 14:44:53,MAT791205T5B06315,SUCCESS,
2026-06-23 14:44:57,MAT791205T5B06317,SUCCESS,
2026-06-23 14:45:01,MAT791205T5C07627,SUCCESS,
2026-06-23 14:45:05,MAT791205T5C07629,SUCCESS,
2026-06-23 14:45:09,MAT792161S8J17204,SUCCESS,
2026-06-23 14:45:13,MAT793018S1E14979,SUCCESS,
2026-06-23 14:45:16,MAT797083R5F10274,SUCCESS,
2026-06-23 14:45:18,MAT797083RAF08981,SUCCESS,
2026-06-23 14:45:21,MAT797305T2B06157,SUCCESS,
2026-06-23 14:45:24,MAT797309T1C10719,SUCCESS,
2026-06-23 14:45:28,MAT804059T8E11932,SUCCESS,
2026-06-23 14:45:32,MAT804059T8E11943,SUCCESS,
2026-06-23 14:45:36,MAT804059T8E12067,SUCCESS,
2026-06-23 14:45:40,MAT804059T8E12068,SUCCESS,
2026-06-23 14:45:43,MAT805022TFD05814,SUCCESS,
2026-06-23 14:45:45,MAT805022TFD06226,SUCCESS,
2026-06-23 14:45:48,MAT805022TFD06472,SUCCESS,
2026-06-23 14:45:53,MAT805022TFE06697,SUCCESS,
2026-06-23 14:45:56,MAT805022TFE06743,SUCCESS,
2026-06-23 14:46:01,MAT805022TFE07545,SUCCESS,
2026-06-23 14:46:06,MAT805022TFE07562,SUCCESS,
2026-06-23 14:46:11,MAT805022TFE07685,SUCCESS,
2026-06-23 14:46:15,MAT805022TFE07701,SUCCESS,
2026-06-23 14:46:18,MAT805023RFF08919,SUCCESS,
2026-06-23 14:46:21,MAT805023TFE07173,SUCCESS,
2026-06-23 14:46:26,MAT805025R5B03917,SUCCESS,
2026-06-23 14:46:31,MAT810002N5H11278,SUCCESS,
2026-06-23 14:46:35,MAT810002N5H11303,SUCCESS,
2026-06-23 14:46:39,MAT810002N8A02327,SUCCESS,
2026-06-23 14:46:44,MAT810062T8D09361,SUCCESS,
2026-06-23 14:46:47,MAT812040P5H08663,SUCCESS,
2026-06-23 14:46:51,MAT817007RAD06822,SUCCESS,
2026-06-23 14:46:54,MAT817007TFF08117,SUCCESS,
2026-06-23 14:46:58,MAT820003P3C09010,SUCCESS,
2026-06-23 14:47:03,MAT828113S2D06453,SUCCESS,
2026-06-23 14:47:07,MAT828129TAC09597,SUCCESS,
2026-06-23 14:47:11,MAT828202S2C05425,SUCCESS,
2026-06-23 14:47:15,MAT832004S5C07461,SUCCESS,
2026-06-23 14:47:19,MAT835206R1C08818,SUCCESS,
2026-06-23 14:47:21,MAT837018T1B05373,SUCCESS,
2026-06-23 14:47:24,MAT837018T1B06018,SUCCESS,
2026-06-23 15:35:58,MAT503301S3E16432,SUCCESS,
2026-06-23 15:36:02,MAT503301S3E16451,SUCCESS,
2026-06-23 15:36:05,MAT503301S3E16452,SUCCESS,
2026-06-23 15:36:08,MAT558005TVA00671,SUCCESS,
2026-06-23 15:36:13,MAT558005TVE27335,SUCCESS,
2026-06-23 15:36:17,MAT558017TVD20391,SUCCESS,
2026-06-23 15:36:21,MAT793055T1C10296,SUCCESS,
2026-06-23 15:36:23,MAT793055T1C10834,SUCCESS,
2026-06-23 15:36:26,MAT797309T1C10719,SUCCESS,
2026-06-23 15:36:30,MAT828045R1E14790,SUCCESS,
2026-06-23 15:36:34,MAT828045R1E14795,SUCCESS,
2026-06-23 16:15:08,MAT503091S2B03618,SUCCESS,
2026-06-23 16:15:12,MAT513059T5A02480,SUCCESS,
2026-06-23 16:15:16,MAT513060RFB02889,SUCCESS,
2026-06-23 16:15:19,MAT513061PFP15846,SUCCESS,
2026-06-23 16:15:21,MAT513304NFA00026,SUCCESS,
2026-06-23 16:15:24,MAT513353NFC01381,SUCCESS,
2026-06-23 16:15:26,MAT513355SFK10496,SUCCESS,
2026-06-23 16:15:28,MAT513355TFC03745,SUCCESS,
2026-06-23 16:15:31,MAT513356TFA00044,SUCCESS,
2026-06-23 16:15:34,MAT513357TFA01737,SUCCESS,
2026-06-23 16:15:36,MAT514016PFF09483,SUCCESS,
2026-06-23 16:15:39,MAT557029MUK02788,SUCCESS,
2026-06-23 16:15:41,MAT557047TUB00878,SUCCESS,
2026-06-23 16:15:43,MAT557047TUE03165,SUCCESS,
2026-06-23 16:15:47,MAT557056PUF03533,SUCCESS,
2026-06-23 16:15:52,MAT557072RUC01130,SUCCESS,
2026-06-23 16:15:56,MAT557076TUC01635,SUCCESS,
2026-06-23 16:16:00,MAT558010TVE27459,SUCCESS,
2026-06-23 16:16:03,MAT558052SVK31872,SUCCESS,
2026-06-23 16:16:04,MAT558053SVE16332,FAILED,"POST /api/crm/saveTicketStage failed (HTTP 500): {'message': 'Previous activity Stage 1 || FOTA / OTA Activities || Dealer Request / Vehicle Ignition On must be completed first.', 'status': False}"
2026-06-23 16:16:06,MAT558053SVN38645,SUCCESS,
2026-06-23 16:16:09,MAT558053TVD19331,SUCCESS,
2026-06-23 16:16:13,MAT558053TVD21260,SUCCESS,
2026-06-23 16:16:17,MAT563103T5E12679,SUCCESS,
2026-06-23 16:16:20,MAT563103T5E12680,SUCCESS,
2026-06-23 16:16:23,MAT563103T5E13359,SUCCESS,
2026-06-23 16:16:27,MAT566007S1C08920,SUCCESS,
2026-06-23 16:16:30,MAT566009S1B04845,SUCCESS,
2026-06-23 16:16:33,MAT566009S1C09296,SUCCESS,
2026-06-23 16:16:37,MAT566013R1E12510,SUCCESS,
2026-06-23 16:16:41,MAT566025S1E14904,SUCCESS,
2026-06-23 16:16:44,MAT566136S1P36565,SUCCESS,
2026-06-23 16:16:47,MAT566136T1B05188,SUCCESS,
2026-06-23 16:16:51,MAT566136T3B06990,SUCCESS,
2026-06-23 16:16:53,MAT566139T1B05839,SUCCESS,
2026-06-23 16:16:57,MAT566139T3A03371,SUCCESS,
2026-06-23 16:17:01,MAT566139T3B06953,SUCCESS,
2026-06-23 16:17:04,MAT566139T3B07204,SUCCESS,
2026-06-23 16:17:08,MAT566230T1B04475,SUCCESS,
2026-06-23 16:17:11,MAT566242T3A03688,SUCCESS,
2026-06-23 16:17:14,MAT569002R3D11020,SUCCESS,
2026-06-23 16:17:18,MAT569006R3E13930,SUCCESS,
2026-06-23 16:17:21,MAT570018S1C10154,SUCCESS,
2026-06-23 16:17:22,MAT570018S1C10200,SUCCESS,
2026-06-23 16:17:25,MAT767317R7J15296,SUCCESS,
2026-06-23 16:17:27,MAT778206S2D07472,SUCCESS,
2026-06-23 16:17:30,MAT783008N1F18713,SUCCESS,
2026-06-23 16:17:32,MAT783057T1C08521,SUCCESS,
2026-06-23 16:17:35,MAT784059RFD05403,SUCCESS,
2026-06-23 16:17:39,MAT784059RFD06090,SUCCESS,
2026-06-23 16:17:43,MAT784059T5D10195,SUCCESS,
2026-06-23 16:17:44,MAT784059T5D10551,SUCCESS,
2026-06-23 16:17:46,MAT784059T5E12397,SUCCESS,
2026-06-23 16:17:50,MAT784059TFA00119,SUCCESS,
2026-06-23 16:17:53,MAT784059TFA00124,SUCCESS,
2026-06-23 16:17:55,MAT784062TFE06686,SUCCESS,
2026-06-23 16:17:57,MAT785042R7D06606,SUCCESS,
2026-06-23 16:18:01,MAT785048S7B02287,SUCCESS,
2026-06-23 16:18:04,MAT785063T7C08686,SUCCESS,
2026-06-23 16:18:07,MAT789087TMC00514,SUCCESS,
2026-06-23 16:18:11,MAT789087TMC00522,SUCCESS,
2026-06-23 16:18:14,MAT790309S7N23399,SUCCESS,
2026-06-23 16:18:17,MAT790313T7C08050,SUCCESS,
2026-06-23 16:18:21,MAT805021SFJ10088,SUCCESS,
2026-06-23 16:18:25,MAT805022TFC04436,SUCCESS,
2026-06-23 16:18:27,MAT805023TFA00721,SUCCESS,
2026-06-23 16:18:31,MAT805023TFB02758,SUCCESS,
2026-06-23 16:18:34,MAT805025SFN11972,SUCCESS,
2026-06-23 16:18:36,MAT805025T5E12523,SUCCESS,
2026-06-23 16:18:40,MAT805025TFA00062,SUCCESS,
2026-06-23 16:18:43,MAT805025TFC03615,SUCCESS,
2026-06-23 16:18:46,MAT805026TFA01105,SUCCESS,
2026-06-23 16:18:50,MAT805026TFA01398,SUCCESS,
